restaurant,date,menu_categories_id,id,name,file_path,logo_path,variation_data_id,variation_data_name,variation_data_price
"bonchon",2022-09-23 00:00:00.0000000,2081633,19408723,"Signature Iced Tea A La Carte","https://images.deliveryhero.io/image/fd-ph/Products/20181042.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/20181042.jpg?width=%s",22857225,,48.799999999999997
"bonchon",2022-10-11 00:00:00.0000000,2081633,19408723,"Signature Iced Tea A La Carte","https://images.deliveryhero.io/image/fd-ph/Products/20181042.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/20181042.jpg?width=%s",22857225,,61
"bonchon",2022-10-13 00:00:00.0000000,2081633,19408727,"Soda","https://images.deliveryhero.io/image/fd-ph/Products/20181041.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/20181041.jpg?width=%s",22857256,,61
"bonchon",2023-11-28 00:00:00.0000000,2118568,33301195,"Nori ","https://images.deliveryhero.io/image/fd-ph/Products/33227681.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/33227681.jpg?width=%s",38515497,,22
"bonchon",2024-02-12 00:00:00.0000000,2118568,33301195,"Nori ","https://images.deliveryhero.io/image/fd-ph/Products/33227681.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/33227681.jpg?width=%s",38515497,,17.600000000000001
"bonchon",2024-03-14 00:00:00.0000000,2118568,33301195,"Nori ","https://images.deliveryhero.io/image/fd-ph/Products/33227681.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/33227681.jpg?width=%s",38515497,,19.199999999999999
"bonchon",2022-09-23 00:00:00.0000000,2293044,18970572,"Triple Sampler Chicken Rack","https://images.deliveryhero.io/image/fd-ph/Products/18923335.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/18923335.jpg?width=%s",22347560,,404
"bonchon",2022-10-11 00:00:00.0000000,2293044,18970572,"Triple Sampler Chicken Rack","https://images.deliveryhero.io/image/fd-ph/Products/18923335.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/18923335.jpg?width=%s",22347560,,505
"bonchon",2023-11-28 00:00:00.0000000,2293044,22718544,"4 Pcs Chikin Chops Rack","https://images.deliveryhero.io/image/fd-ph/Products/29157850.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/29157850.jpg?width=%s",26767089,,625
"bonchon",2022-09-23 00:00:00.0000000,2293045,18970571,"3 Pcs K-style Trio Boxed Meal","https://images.deliveryhero.io/image/fd-ph/Products/18923333.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/18923333.jpg?width=%s",22347572,,236.80000000000001
"bonchon",2022-10-11 00:00:00.0000000,2293045,18970571,"3 Pcs K-style Trio Boxed Meal","https://images.deliveryhero.io/image/fd-ph/Products/18923333.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/18923333.jpg?width=%s",22347572,,296
"bonchon",2022-09-23 00:00:00.0000000,2407962,22486176,"Chikin Chops Ricebox with Kimchi Coleslaw","https://images.deliveryhero.io/image/fd-ph/Products/22447621.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/22447621.jpg?width=%s",26488764,,193.59999999999999
"bonchon",2022-10-11 00:00:00.0000000,2407962,22486176,"Chikin Chops Ricebox with Kimchi Coleslaw","https://images.deliveryhero.io/image/fd-ph/Products/22447621.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/22447621.jpg?width=%s",26488764,,242
"bonchon",2022-12-07 00:00:00.0000000,2407962,22486176,"Chikin Chops Ricebox with Kimchi Coleslaw","https://images.deliveryhero.io/image/fd-ph/Products/22447621.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/22447621.jpg?width=%s",26488764,,244
"bonchon",2023-05-03 00:00:00.0000000,2407962,29962314,"Mild Spicy Deluxe Sandwich A La Carte","https://images.deliveryhero.io/image/fd-ph/Products/29406245.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/29406245.jpg?width=%s",34965500,,230
"bonchon",2023-05-03 00:00:00.0000000,2407962,29962315,"Mild Spicy Deluxe Sandwich Meal","https://images.deliveryhero.io/image/fd-ph/Products/29406318.jpg?width=%s","https://images.deliveryhero.io/image/fd-ph/Products/29406318.jpg?width=%s",34965501,,275
