restaurant,date,url_key,menu_categories_id,menu_categories_name
"manginasal",2023-02-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339979,"Liempo Inasal"
"manginasal",2023-08-06 00:00:00.0000000,"mang-inasal-taft-avenue",2339979,"Grilled Liempo"
"manginasal",2023-02-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339980,"New! Pork BBQ"
"manginasal",2023-08-06 00:00:00.0000000,"mang-inasal-taft-avenue",2339980,"Pork BBQ"
"manginasal",2023-02-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339982,"Fiesta Meal"
"manginasal",2023-02-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339984,"Todo Solb Meal"
"manginasal",2023-08-06 00:00:00.0000000,"mang-inasal-taft-avenue",2339984,"Chicken & Palabok Combo Meals"
"manginasal",2023-02-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339989,"Inumin"
"manginasal",2023-02-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339990,"ATBP"
"manginasal",2022-09-09 00:00:00.0000000,"mang-inasal-taft-avenue",2339991,"Chicken Oil"
"manginasal",2022-09-16 00:00:00.0000000,"mang-inasal-taft-avenue",2421823,"Ihaw-Sarap Group Deals"
"manginasal",2023-03-27 00:00:00.0000000,"mang-inasal-taft-avenue",2421824,"Good for Sharing"
"manginasal",2023-02-19 00:00:00.0000000,"mang-inasal-taft-avenue",2532293,"#BetterWithCoke"
"manginasal",2022-11-01 00:00:00.0000000,"mang-inasal-taft-avenue",2633295,"Char-Grilled Chorizo Burger"
"manginasal",2022-10-10 00:00:00.0000000,"mang-inasal-taft-avenue",2679695,"10.10 Empanada Blowout Promo"
"manginasal",2022-10-20 00:00:00.0000000,"mang-inasal-taft-avenue",2693224,"Ihaw Fest"
"manginasal",2022-11-01 00:00:00.0000000,"mang-inasal-taft-avenue",2717919,"Ihaw Fest"
"manginasal",2022-12-14 00:00:00.0000000,"mang-inasal-taft-avenue",2780564,"Buy 2, Get 1 Chicken Inasal"
"manginasal",2022-12-20 00:00:00.0000000,"mang-inasal-taft-avenue",2789020,"Family Fiesta Special Treat"
"manginasal",2022-12-29 00:00:00.0000000,"mang-inasal-taft-avenue",2789020,"Family Fiesta Holiday Savers"
"manginasal",2023-03-22 00:00:00.0000000,"mang-inasal-taft-avenue",2896814,"IHAW SARAP MIDWEEK DEALS"
"manginasal",2023-03-27 00:00:00.0000000,"mang-inasal-taft-avenue",2909084,"SULIT-SARAP DELIVERY DEALS"
"manginasal",2023-09-01 00:00:00.0000000,"mang-inasal-taft-avenue",3171570,"Grilled Chorizo Bowl"
"manginasal",2024-03-16 00:00:00.0000000,"mang-inasal-taft-avenue",6370845,"Lumpiang Togue"
"manginasal",2023-08-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339980,"Grilled Pork"
"manginasal",2023-08-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339981,"Chicken Inasal"
"manginasal",2023-08-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339983,"Family Combo Savers"
"manginasal",2023-08-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339985,"Sisig"
"manginasal",2023-08-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339986,"Palabok"
"manginasal",2023-08-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339987,"Empanada"
"manginasal",2023-08-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339988,"Halo-Halo"
"manginasal",2023-08-19 00:00:00.0000000,"mang-inasal-taft-avenue",2339989,"Inumin ATBP"
